Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G899""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H899""))>0,0),""Mac Pass"",""Mac Fail"")",,Warp Selected Shapes,Designer Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G900""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H900""))>0,0),""Mac Pass"",""Mac Fail"")",,Restore Original Shapes,Designer Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G901""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H901""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Warp,Designer Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G902""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H902""))>0,0),""Mac Pass"",""Mac Fail"")",,Release the warp of a raster image,Designer Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G903""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H903""))>0,0),""Mac Pass"",""Mac Fail"")",,Divisions (3 inputs),Designer Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G904""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H904""))>0,0),""Mac Pass"",""Mac Fail"")",,Columns (3 inputs),Designer Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G905""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H905""))>0,0),""Mac Pass"",""Mac Fail"")",,Rows (3 inputs),Designer Edition feature.,,,
Warp Templates,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G907""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H907""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Warp Templates (All templates),Designer Edition feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G908""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H908""))>0,0),""Mac Pass"",""Mac Fail"")",,Restore Original Shapes,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G909""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H909""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Warp,,,,
Conical Warp,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G911""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H911""))>0,0),""Mac Pass"",""Mac Fail"")",,Conical Warp Selected Shape,Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G912""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H912""))>0,0),""Mac Pass"",""Mac Fail"")",,Warp Top width (3 inputs),Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G913""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H913""))>0,0),""Mac Pass"",""Mac Fail"")",,Warp Bottom width (3 inputs),Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G914""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H914""))>0,0),""Mac Pass"",""Mac Fail"")",,Warp height (3 inputs),Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G915""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H915""))>0,0),""Mac Pass"",""Mac Fail"")",,Object width (3 inputs),Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G916""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H916""))>0,0),""Mac Pass"",""Mac Fail"")",,Object height (3 inputs),Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G917""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H917""))>0,0),""Mac Pass"",""Mac Fail"")",,Cancel Warp,Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G918""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H918""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Warp,Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G919""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H919""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Warp to raster image,Designer Edition Plus feature.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G920""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H920""))>0,0),""Mac Pass"",""Mac Fail"")",,Move ALL nodes in the preview,Designer Edition Plus feature.,,,
Business Edition Features,,,,,,,
Business Settings,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G923""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H923""))>0,0),""Mac Pass"",""Mac Fail"")",,Media Layout view On / Off,Reg Marks must be turned off. ,,,
Media Layout Settings,,,,,,,
Media Size,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G926""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H926""))>0,0),""Mac Pass"",""Mac Fail"")",,Width,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G927""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H927""))>0,0),""Mac Pass"",""Mac Fail"")",,Height,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G928""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H928""))>0,0),""Mac Pass"",""Mac Fail"")",,Preset Page Size,Test all sizes,,,
Cutting Mat,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G930""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H930""))>0,0),""Mac Pass"",""Mac Fail"")",,Cutting Mat,Test all mats,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G931""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H931""))>0,0),""Mac Pass"",""Mac Fail"")",,Reveal,,,,
Cut Border,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G933""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H933""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Border Left,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G934""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H934""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Border Top,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G935""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H935""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Border Right,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G936""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H936""))>0,0),""Mac Pass"",""Mac Fail"")",,Cut Border Bottom,,,,
Orientation,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G938""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H938""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate Cut Job,,,,
Copies,,,,,,,
Copy,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G941""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H941""))>0,0),""Mac Pass"",""Mac Fail"")",,Rows,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G942""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H942""))>0,0),""Mac Pass"",""Mac Fail"")",,Columns,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G943""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H943""))>0,0),""Mac Pass"",""Mac Fail"")",,Limit to Media,,,,
Separation,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G945""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H945""))>0,0),""Mac Pass"",""Mac Fail"")",,Horizontal,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G946""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H946""))>0,0),""Mac Pass"",""Mac Fail"")",,Vertical,,,,
Advanced Nesting,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G948""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H948""))>0,0),""Mac Pass"",""Mac Fail"")",,Nesting active,,,,
Options,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G950""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H950""))>0,0),""Mac Pass"",""Mac Fail"")",,Interlock,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G951""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H951""))>0,0),""Mac Pass"",""Mac Fail"")",,Maintain Grain,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G952""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H952""))>0,0),""Mac Pass"",""Mac Fail"")",,Align,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G953""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H953""))>0,0),""Mac Pass"",""Mac Fail"")",,Whole Words,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G954""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H954""))>0,0),""Mac Pass"",""Mac Fail"")",,Maintain Groups,,,,
Parameters,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G956""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H956""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotations,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G957""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H957""))>0,0),""Mac Pass"",""Mac Fail"")",,Padding,,,,
Tiling,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G959""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H959""))>0,0),""Mac Pass"",""Mac Fail"")",,Tiling Active,,,,
Configure Position and Size,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G961""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H961""))>0,0),""Mac Pass"",""Mac Fail"")",,Relative to Job,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G962""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H962""))>0,0),""Mac Pass"",""Mac Fail"")",,Relative to Media,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G963""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H963""))>0,0),""Mac Pass"",""Mac Fail"")",,User Defined,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G964""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H964""))>0,0),""Mac Pass"",""Mac Fail"")",,Panel Margin,,,,
Configure a Regular Grid,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G966""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H966""))>0,0),""Mac Pass"",""Mac Fail"")",,Automatic,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G967""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H967""))>0,0),""Mac Pass"",""Mac Fail"")",,Custom,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G968""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H968""))>0,0),""Mac Pass"",""Mac Fail"")",,Regular Grid,,,,
Overlap,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G970""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H970""))>0,0),""Mac Pass"",""Mac Fail"")",,Margin,,,,
Other Options,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G972""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H972""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Dimensions,,,,
Tiling Options,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G974""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H974""))>0,0),""Mac Pass"",""Mac Fail"")",,All Tiles,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G975""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H975""))>0,0),""Mac Pass"",""Mac Fail"")",,Selected Tiles Only,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G976""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H976""))>0,0),""Mac Pass"",""Mac Fail"")",,separation,,,,
Multi-Cutter Support,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G978""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H978""))>0,0),""Mac Pass"",""Mac Fail"")",,Connect MANY Cutters,At least 3 cutters or more,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G979""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H979""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Default Cutter,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G980""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H980""))>0,0),""Mac Pass"",""Mac Fail"")",,Rename Cutter,USB ,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G981""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H981""))>0,0),""Mac Pass"",""Mac Fail"")",,Restore Default Name,USB ,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G982""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H982""))>0,0),""Mac Pass"",""Mac Fail"")",,Release Cutter,No Longer available,,,
Multiple Undo,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G984""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H984""))>0,0),""Mac Pass"",""Mac Fail"")",,Undo multiple action,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G985""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H985""))>0,0),""Mac Pass"",""Mac Fail"")",,Redo multiple actions,,,,
Preferences,,,,,,,
General,,,,,,,
Language,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G989""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H989""))>0,0),""Mac Pass"",""Mac Fail"")",,Default,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G990""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H990""))>0,0),""Mac Pass"",""Mac Fail"")",,English,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G991""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H991""))>0,0),""Mac Pass"",""Mac Fail"")",,Portuguese,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G992""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H992""))>0,0),""Mac Pass"",""Mac Fail"")",,Spanish,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G993""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H993""))>0,0),""Mac Pass"",""Mac Fail"")",,French,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G994""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H994""))>0,0),""Mac Pass"",""Mac Fail"")",,German,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G995""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H995""))>0,0),""Mac Pass"",""Mac Fail"")",,Italian,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G996""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H996""))>0,0),""Mac Pass"",""Mac Fail"")",,Japanese,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G997""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H997""))>0,0),""Mac Pass"",""Mac Fail"")",,Korean,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G998""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H998""))>0,0),""Mac Pass"",""Mac Fail"")",,Russian,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G999""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H999""))>0,0),""Mac Pass"",""Mac Fail"")",,Chinese,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1000""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1000""))>0,0),""Mac Pass"",""Mac Fail"")",,Dutch,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1001""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1001""))>0,0),""Mac Pass"",""Mac Fail"")",,Czech,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1002""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1002""))>0,0),""Mac Pass"",""Mac Fail"")",,Danish,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1003""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1003""))>0,0),""Mac Pass"",""Mac Fail"")",,Swedish,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1004""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1004""))>0,0),""Mac Pass"",""Mac Fail"")",,Polish,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1005""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1005""))>0,0),""Mac Pass"",""Mac Fail"")",,Turkish,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1006""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1006""))>0,0),""Mac Pass"",""Mac Fail"")",,Indonesian,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1007""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1007""))>0,0),""Mac Pass"",""Mac Fail"")",,Tagalog,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1008""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1008""))>0,0),""Mac Pass"",""Mac Fail"")",,Taiwanese,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1009""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1009""))>0,0),""Mac Pass"",""Mac Fail"")",,Thai,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1010""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1010""))>0,0),""Mac Pass"",""Mac Fail"")",,Arabic,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1011""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1011""))>0,0),""Mac Pass"",""Mac Fail"")",,Hungarian,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1012""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1012""))>0,0),""Mac Pass"",""Mac Fail"")",,Bulgarian,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1013""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1013""))>0,0),""Mac Pass"",""Mac Fail"")",,Vietnamese,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1014""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1014""))>0,0),""Mac Pass"",""Mac Fail"")",,Persian,,,,
Check for Updates,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1016""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1016""))>0,0),""Mac Pass"",""Mac Fail"")",,Always (Should not appear),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1017""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1017""))>0,0),""Mac Pass"",""Mac Fail"")",,Daily,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1018""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1018""))>0,0),""Mac Pass"",""Mac Fail"")",,Weekly,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1019""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1019""))>0,0),""Mac Pass"",""Mac Fail"")",,Never,,,,
Default Save Location,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1021""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1021""))>0,0),""Mac Pass"",""Mac Fail"")",,Hard Disk,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1022""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1022""))>0,0),""Mac Pass"",""Mac Fail"")",,Library,Only work on a new tab - Ticket 8905,,,
Unit of Length,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1024""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1024""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto (inches),Default varies depending on language.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1025""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1025""))>0,0),""Mac Pass"",""Mac Fail"")",,Millimetres,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1026""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1026""))>0,0),""Mac Pass"",""Mac Fail"")",,Centimetres,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1027""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1027""))>0,0),""Mac Pass"",""Mac Fail"")",,Feet,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1028""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1028""))>0,0),""Mac Pass"",""Mac Fail"")",,Inches,,,,
Dimensions,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1030""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1030""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Dimensions,,,,
Resolution of Image Sent to Printer,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1032""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1032""))>0,0),""Mac Pass"",""Mac Fail"")",,300dpi,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1033""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1033""))>0,0),""Mac Pass"",""Mac Fail"")",,600dpi,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1034""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1034""))>0,0),""Mac Pass"",""Mac Fail"")",,1200dpi,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1035""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1035""))>0,0),""Mac Pass"",""Mac Fail"")",,Custom,Set resolution (2 inputs),,,
Defaults,,,,,,,
Default Fill Style,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1038""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1038""))>0,0),""Mac Pass"",""Mac Fail"")",,Solid Fill,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1039""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1039""))>0,0),""Mac Pass"",""Mac Fail"")",,Outline Only,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1040""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1040""))>0,0),""Mac Pass"",""Mac Fail"")",,Outline Only (color),,,,
Registration Marks,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G1042""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H1042""))>0,0),""Mac Pass"",""Mac Fail"")",,Registration Marks On,Only work on a new tab,,,
